158035	NA	0.003771	89
9061	NA	0.003875	89
541471	NA	0.004078	89
118430	NA	0.004628	90
169166	NA	0.005114	91
112724	NA	0.00523	89
221935	NA	0.00533	91
100113384	NA	0.005728	90
100313921	NA	0.005982	89
105370208	NA	0.006611	89
106481423	NA	0.007377	89
100147828	NA	0.007852	92
56243	NA	0.008066	89
10098	NA	0.008235	90
2001	NA	0.008239	89
2140	NA	0.008452	89
106146146	NA	0.008519	89
101927347	NA	0.008867	89
286144	NA	0.008966	90
79666	NA	0.009057	93
100874065	NA	0.009373	92
100270832	NA	0.009408	89
28977	NA	0.01012	92
7675	NA	0.01033	89
390266	NA	0.01116	89
100616201	NA	0.01116	91
23216	NA	0.01139	89
122876	NA	0.01166	91
282809	NA	0.0117	93
5651	NA	0.0118	93
4507	NA	0.01292	91
167465	NA	0.01346	93
677814	NA	0.01351	89
25817	NA	0.01362	92
22992	NA	0.01369	89
56113	NA	0.0137	92
56112	NA	0.0137	93
56104	NA	0.0137	90
56103	NA	0.0137	93
56102	NA	0.0137	90
56109	NA	0.0137	92
8641	NA	0.0137	90
56107	NA	0.0137	90
56099	NA	0.0137	90
5098	NA	0.0137	92
1729	NA	0.0137	94
149111	NA	0.01385	89
157697	NA	0.01385	92
9228	NA	0.01385	89
106480500	NA	0.01397	96
27131	NA	0.01452	91
8648	NA	0.01487	92
56147	NA	0.01509	89
56146	NA	0.01509	92
56145	NA	0.01509	89
56144	NA	0.01509	91
6327	NA	0.01525	93
284369	NA	0.01581	92
25805	NA	0.0159	89
29083	NA	0.01601	90
86781	NA	0.01626	90
55180	NA	0.01656	92
140460	NA	0.01656	90
5802	NA	0.01674	94
100151678	NA	0.01706	93
57495	NA	0.01706	93
1400	NA	0.01729	90
9988	NA	0.01729	91
101060176	NA	0.01739	89
5879	NA	0.01751	91
1452	NA	0.01796	93
100270974	NA	0.01796	93
549	NA	0.01809	92
5866	NA	0.01836	93
102725045	NA	0.01838	91
56143	NA	0.01844	92
56142	NA	0.01844	93
441884	NA	0.01855	93
220906	NA	0.0187	92
9520	NA	0.0187	91
8522	NA	0.01882	94
106480125	NA	0.01907	95
419	NA	0.01962	93
3627	NA	0.01962	93
6373	NA	0.01962	92
2241	NA	0.01975	91
57619	NA	0.01985	92
127795	NA	0.01991	91
92017	NA	0.02005	91
64866	NA	0.02093	94
26061	NA	0.02104	90
115207	NA	0.0212	95
23423	NA	0.02141	91
2146	NA	0.02149	90
100132987	NA	0.02221	95
414243	NA	0.02221	90
148189	NA	0.02243	90
2894	NA	0.02271	89
100874235	NA	0.02287	92
56141	NA	0.02301	91
56140	NA	0.02301	95
100302691	NA	0.0233	91
149643	NA	0.02402	89
56204	NA	0.02408	92
124912	NA	0.02415	93
9771	NA	0.02415	90
100873485	NA	0.02415	89
391190	NA	0.02446	91
6261	NA	0.02507	92
124989	NA	0.02588	95
5229	NA	0.02591	92
57708	NA	0.02609	93
55604	NA	0.02638	93
9752	NA	0.02655	89
56670	NA	0.02728	91
503632	NA	0.02778	92
23345	NA	0.02782	90
4286	NA	0.02848	91
100616400	NA	0.02952	92
3231	NA	0.02957	95
414351	NA	0.02999	90
106660611	NA	0.0301	95
151477	NA	0.0301	93
114987	NA	0.03072	91
54836	NA	0.03072	91
4045	NA	0.03135	91
8546	NA	0.03146	93
