Gene Symbol	Gene ID
SQSTM1	8878
TREML2	79865
NDUFAF6	137682
AP2A2	161
IGHV3-71	28411
TRIP4	9325
SIGLEC22P	114195
LINC01031	101929184
PTK2B	2185
SORL1	6653
SLC24A4	123041
RNU6-560P	106480590
ABCA7	10347
INPP5D	3635
MEF2C-AS1	101929423
GPR141	353345
ZCWPW1	55063
CELF1	10658
FERMT2	10979
CASS4	57091
HLA-DRB1	3123
CR1	1378
BIN1	274
CD2AP	23607
EPHA1-AS1	285965
CLU	1191
MS4A2	2206
TREM2	54209
IGHV2-70	28454
SPPL2A	84888
SCIMP	388325
CD33	945
EPDR1	54749
HLA-DQA1	3117
NIFKP9	106480805
